0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:07:06 +0900] "GET /TeamProject1/img2/writeCapsule.png HTTP/1.1" 200 10579
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:07:06 +0900] "GET /TeamProject1/css/capsuleList.css HTTP/1.1" 200 3513
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:07:06 +0900] "GET /TeamProject1/img/1.jpg HTTP/1.1" 200 1234039
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:07:06 +0900] "GET /TeamProject1/js/capsuleList.js HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:07:08 +0900] "GET /TeamProject1/mypage.jsp HTTP/1.1" 200 10066
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:07:08 +0900] "GET /TeamProject1/js/header.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:07:08 +0900] "GET /TeamProject1/img/profile.jpg HTTP/1.1" 200 36607
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:07:08 +0900] "GET /TeamProject1/img/banner.jpg HTTP/1.1" 200 87618
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:07:08 +0900] "GET /TeamProject1/css/mypage.css HTTP/1.1" 200 4087
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:07:11 +0900] "GET /TeamProject1/mypage.jsp HTTP/1.1" 200 10066
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:07:11 +0900] "GET /TeamProject1/js/header.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:07:14 +0900] "GET /TeamProject1/mypage.jsp HTTP/1.1" 200 10066
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:07:14 +0900] "GET /TeamProject1/js/header.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:07:24 +0900] "GET /TeamProject1/capsuleList.jsp HTTP/1.1" 200 21823
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:07:24 +0900] "GET /TeamProject1/js/header.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:07:27 +0900] "GET /TeamProject1/home.jsp HTTP/1.1" 200 13635
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:07:27 +0900] "GET /TeamProject1/js/header.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:07:27 +0900] "GET /TeamProject1/img2/time.gif HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:07:30 +0900] "GET /TeamProject1/capsuleList.jsp HTTP/1.1" 200 21823
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:07:30 +0900] "GET /TeamProject1/js/header.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:07:31 +0900] "GET /TeamProject1/mypage.jsp HTTP/1.1" 200 10066
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:07:34 +0900] "GET /TeamProject1/index.jsp HTTP/1.1" 200 4673
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:07:34 +0900] "GET /TeamProject1/js/header.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:07:36 +0900] "GET /TeamProject1/mygroup.jsp HTTP/1.1" 200 11548
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:07:36 +0900] "GET /TeamProject1/css/mygroup.css HTTP/1.1" 200 2780
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:08:26 +0900] "GET /TeamProject1/mypage.jsp HTTP/1.1" 200 10066
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:08:26 +0900] "GET /TeamProject1/js/header.js HTTP/1.1" 200 2191
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:09:40 +0900] "GET /TeamProject1/inquiry.jsp HTTP/1.1" 200 5225
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:09:40 +0900] "GET /TeamProject1/js/header.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:09:40 +0900] "GET /TeamProject1/css/inquiry.css HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:12:25 +0900] "GET /TeamProject1/mypage.jsp HTTP/1.1" 200 10143
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:12:25 +0900] "GET /TeamProject1/js/header.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:12:25 +0900] "GET /TeamProject1/js/mypage.js HTTP/1.1" 200 320
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:12:26 +0900] "GET /TeamProject1/myinquiry.jsp HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:12:40 +0900] "GET /TeamProject1/myInquiry.jsp HTTP/1.1" 200 5712
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:12:41 +0900] "GET /TeamProject1/css/myInquiry.css HTTP/1.1" 200 1117
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:13:02 +0900] "GET /TeamProject1/myInquiry.jsp HTTP/1.1" 200 5712
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:13:02 +0900] "GET /TeamProject1/js/header.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:13:02 +0900] "GET /TeamProject1/home.jsp HTTP/1.1" 200 13635
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:13:03 +0900] "GET /TeamProject1/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:13:03 +0900] "GET /TeamProject1/img2/time.gif HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:13:03 +0900] "GET /img/backgorund.jpg HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:13:05 +0900] "GET /TeamProject1/mypage.jsp HTTP/1.1" 200 10143
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:13:05 +0900] "GET /TeamProject1/js/mypage.js HTTP/1.1" 200 320
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:13:06 +0900] "GET /TeamProject1/myInquiry.jsp HTTP/1.1" 200 5712
